j,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,1.000,2.119,2.696,2.933,3.012,3.028,3.076,3.150,3.206,3.241,3.265,3.285,3.303,3.318,3.332,3.344,3.355,3.365,3.373,3.381,3.389,3.395,3.402,3.407,3.413,3.418,3.422,3.427,3.431,3.435,3.438,3.442,3.445,3.448,3.451,3.454,3.457,3.459,3.462,3.464,3.467,3.469,3.471,3.473,3.475,3.477,3.479,3.480,3.482,3.484,3.486,3.487,3.489,3.490,3.492,3.493,3.495,3.496,3.497,3.499,3.500,3.501,3.503,3.504,3.505,3.507,3.508,3.509,3.511,3.512
1,1.000,1.890,2.452,2.759,2.879,2.913,2.966,3.045,3.111,3.158,3.192,3.220,3.243,3.264,3.281,3.297,3.311,3.324,3.335,3.346,3.355,3.363,3.371,3.379,3.385,3.392,3.397,3.403,3.408,3.413,3.417,3.421,3.426,3.429,3.433,3.436,3.440,3.443,3.446,3.449,3.451,3.454,3.457,3.459,3.461,3.464,3.466,3.468,3.470,3.472,3.474,3.476,3.478,3.479,3.481,3.483,3.485,3.486,3.488,3.489,3.491,3.492,3.494,3.496,3.497,3.498,3.500,3.501,3.503,3.504
2,1.000,1.203,1.718,2.237,2.482,2.569,2.638,2.729,2.826,2.909,2.972,3.023,3.064,3.099,3.130,3.157,3.181,3.202,3.221,3.238,3.253,3.267,3.280,3.292,3.303,3.313,3.322,3.331,3.339,3.347,3.354,3.360,3.367,3.372,3.378,3.383,3.388,3.393,3.398,3.402,3.406,3.410,3.414,3.418,3.421,3.424,3.428,3.431,3.434,3.437,3.439,3.442,3.445,3.447,3.450,3.452,3.454,3.457,3.459,3.461,3.463,3.465,3.468,3.470,3.472,3.474,3.476,3.478,3.480,3.482
3,1.000,1.005,1.158,1.614,1.993,2.173,2.265,2.346,2.443,2.546,2.640,2.720,2.787,2.845,2.894,2.937,2.975,3.009,3.040,3.067,3.092,3.114,3.135,3.154,3.171,3.187,3.202,3.215,3.228,3.240,3.251,3.262,3.271,3.281,3.289,3.297,3.305,3.313,3.320,3.326,3.333,3.339,3.344,3.350,3.355,3.360,3.365,3.370,3.374,3.379,3.383,3.387,3.391,3.394,3.398,3.402,3.405,3.408,3.412,3.415,3.418,3.421,3.424,3.427,3.430,3.433,3.436,3.439,3.442,3.445
4,1.000,0.996,0.992,1.139,1.498,1.786,1.946,2.039,2.111,2.187,2.273,2.363,2.449,2.527,2.596,2.657,2.711,2.760,2.804,2.844,2.880,2.912,2.942,2.970,2.995,3.019,3.040,3.061,3.079,3.097,3.113,3.128,3.143,3.156,3.169,3.181,3.193,3.203,3.214,3.223,3.233,3.241,3.250,3.258,3.265,3.273,3.280,3.287,3.293,3.299,3.305,3.311,3.317,3.322,3.327,3.332,3.337,3.342,3.347,3.351,3.356,3.360,3.364,3.369,3.373,3.377,3.381,3.385,3.389,3.393
5,1.000,1.001,0.994,0.994,1.114,1.379,1.620,1.775,1.868,1.932,1.987,2.048,2.119,2.195,2.272,2.345,2.412,2.474,2.530,2.582,2.629,2.672,2.712,2.749,2.784,2.815,2.845,2.872,2.898,2.922,2.944,2.965,2.985,3.003,3.021,3.037,3.053,3.068,3.082,3.095,3.108,3.120,3.132,3.143,3.153,3.164,3.173,3.183,3.191,3.200,3.208,3.216,3.224,3.231,3.238,3.245,3.252,3.259,3.265,3.271,3.277,3.283,3.289,3.295,3.300,3.306,3.311,3.317,3.322,3.327
6,1.000,1.001,1.000,0.994,0.999,1.082,1.273,1.482,1.638,1.736,1.798,1.841,1.882,1.928,1.985,2.049,2.116,2.181,2.244,2.303,2.358,2.410,2.458,2.503,2.546,2.585,2.622,2.657,2.690,2.720,2.749,2.776,2.801,2.825,2.848,2.870,2.890,2.909,2.928,2.945,2.962,2.978,2.993,3.007,3.021,3.034,3.047,3.059,3.071,3.082,3.093,3.103,3.113,3.123,3.133,3.142,3.150,3.159,3.167,3.175,3.183,3.191,3.199,3.206,3.213,3.220,3.227,3.234,3.241,3.248
7,1.000,1.000,1.001,0.999,0.996,1.001,1.052,1.186,1.364,1.520,1.628,1.695,1.735,1.764,1.792,1.827,1.871,1.924,1.980,2.037,2.093,2.148,2.200,2.249,2.297,2.342,2.385,2.426,2.464,2.501,2.535,2.568,2.599,2.628,2.656,2.682,2.707,2.731,2.754,2.776,2.797,2.816,2.835,2.853,2.871,2.887,2.903,2.919,2.933,2.947,2.961,2.974,2.987,2.999,3.011,3.022,3.034,3.044,3.055,3.065,3.075,3.085,3.094,3.103,3.112,3.121,3.130,3.139,3.147,3.156
8,1.000,1.000,1.000,1.000,0.999,0.997,1.001,1.031,1.119,1.263,1.414,1.532,1.609,1.654,1.679,1.697,1.715,1.741,1.776,1.818,1.864,1.913,1.961,2.010,2.057,2.103,2.148,2.192,2.234,2.274,2.312,2.349,2.385,2.419,2.451,2.482,2.511,2.539,2.566,2.592,2.617,2.640,2.663,2.685,2.705,2.725,2.745,2.763,2.781,2.798,2.815,2.831,2.846,2.861,2.875,2.889,2.903,2.916,2.929,2.941,2.953,2.965,2.976,2.988,2.999,3.009,3.020,3.030,3.041,3.051
9,1.000,1.000,1.000,1.000,1.000,0.999,0.999,1.001,1.018,1.072,1.179,1.316,1.441,1.531,1.586,1.616,1.631,1.640,1.652,1.670,1.696,1.729,1.766,1.806,1.848,1.889,1.931,1.973,2.014,2.054,2.094,2.133,2.170,2.207,2.242,2.275,2.308,2.340,2.370,2.399,2.427,2.454,2.480,2.505,2.529,2.552,2.575,2.596,2.617,2.637,2.656,2.675,2.693,2.711,2.728,2.744,2.760,2.776,2.791,2.805,2.820,2.833,2.847,2.860,2.873,2.886,2.899,2.911,2.923,2.935
