j,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
1,1.000,1.445,1.604,1.668,1.680,1.661,1.622,1.574,1.531,1.505,1.491,1.483,1.476,1.466,1.455,1.444,1.433,1.423,1.414,1.405,1.397,1.390,1.383,1.376,1.370,1.364,1.358,1.353,1.348,1.343,1.338,1.333,1.329,1.325,1.321,1.317,1.313,1.309,1.306,1.302,1.299,1.296,1.293,1.290,1.287,1.284,1.282,1.279,1.276,1.274,1.272,1.269,1.267,1.265,1.262,1.260,1.258,1.256,1.254,1.252,1.250,1.249,1.247,1.245,1.243,1.242,1.240,1.238,1.237,1.235
2,1.000,1.091,1.235,1.389,1.516,1.604,1.648,1.656,1.642,1.623,1.610,1.605,1.605,1.607,1.606,1.603,1.598,1.591,1.585,1.578,1.572,1.566,1.560,1.554,1.549,1.543,1.538,1.533,1.527,1.522,1.517,1.513,1.508,1.503,1.499,1.495,1.491,1.486,1.482,1.479,1.475,1.471,1.467,1.464,1.460,1.457,1.454,1.450,1.447,1.444,1.441,1.438,1.435,1.432,1.430,1.427,1.424,1.422,1.419,1.417,1.414,1.412,1.409,1.407,1.405,1.402,1.400,1.398,1.396,1.394
3,1.000,1.012,1.055,1.137,1.247,1.360,1.453,1.514,1.547,1.560,1.563,1.564,1.569,1.577,1.587,1.596,1.603,1.608,1.610,1.612,1.613,1.612,1.612,1.611,1.610,1.608,1.607,1.604,1.602,1.600,1.597,1.595,1.592,1.590,1.587,1.584,1.582,1.579,1.576,1.573,1.570,1.568,1.565,1.562,1.559,1.557,1.554,1.551,1.549,1.546,1.544,1.541,1.539,1.536,1.534,1.531,1.529,1.526,1.524,1.522,1.520,1.517,1.515,1.513,1.511,1.509,1.506,1.504,1.502,1.500
4,1.000,1.001,1.008,1.031,1.079,1.154,1.243,1.328,1.393,1.437,1.462,1.476,1.484,1.491,1.499,1.510,1.522,1.534,1.546,1.556,1.565,1.572,1.579,1.584,1.589,1.593,1.597,1.599,1.602,1.604,1.605,1.606,1.607,1.608,1.608,1.608,1.608,1.608,1.607,1.607,1.606,1.605,1.604,1.603,1.602,1.601,1.600,1.599,1.598,1.596,1.595,1.594,1.592,1.591,1.589,1.588,1.586,1.585,1.583,1.582,1.580,1.579,1.577,1.575,1.574,1.572,1.571,1.569,1.568,1.567
5,1.000,1.000,1.000,1.005,1.017,1.045,1.093,1.160,1.231,1.295,1.344,1.378,1.399,1.411,1.419,1.425,1.432,1.440,1.450,1.462,1.474,1.486,1.497,1.508,1.518,1.527,1.535,1.543,1.550,1.556,1.561,1.567,1.571,1.575,1.579,1.583,1.586,1.589,1.591,1.593,1.595,1.597,1.599,1.600,1.601,1.602,1.603,1.604,1.605,1.605,1.605,1.606,1.606,1.606,1.606,1.606,1.606,1.605,1.605,1.605,1.604,1.604,1.603,1.603,1.602,1.602,1.601,1.601,1.600,1.599
6,1.000,1.000,1.000,1.000,1.003,1.010,1.025,1.055,1.101,1.158,1.216,1.267,1.307,1.334,1.352,1.363,1.369,1.373,1.377,1.382,1.388,1.397,1.407,1.417,1.428,1.440,1.450,1.460,1.470,1.479,1.488,1.496,1.504,1.511,1.518,1.524,1.530,1.536,1.541,1.546,1.551,1.555,1.559,1.563,1.567,1.570,1.573,1.576,1.579,1.581,1.584,1.586,1.588,1.589,1.591,1.593,1.594,1.595,1.597,1.598,1.599,1.600,1.600,1.601,1.602,1.603,1.603,1.604,1.604,1.605
7,1.000,1.000,1.000,1.000,1.000,1.001,1.005,1.014,1.032,1.062,1.103,1.152,1.201,1.244,1.278,1.302,1.318,1.327,1.332,1.334,1.335,1.336,1.339,1.344,1.351,1.359,1.368,1.377,1.387,1.397,1.406,1.415,1.424,1.433,1.441,1.450,1.457,1.465,1.472,1.479,1.486,1.492,1.498,1.504,1.510,1.515,1.520,1.525,1.529,1.534,1.538,1.542,1.546,1.549,1.553,1.556,1.559,1.562,1.564,1.567,1.570,1.572,1.574,1.576,1.578,1.580,1.582,1.584,1.585,1.587
8,1.000,1.000,1.000,1.000,1.000,1.000,1.001,1.003,1.008,1.018,1.037,1.065,1.102,1.144,1.187,1.225,1.256,1.278,1.293,1.301,1.304,1.304,1.303,1.303,1.303,1.304,1.308,1.313,1.319,1.326,1.334,1.342,1.350,1.358,1.366,1.374,1.382,1.390,1.398,1.405,1.413,1.420,1.427,1.434,1.441,1.447,1.454,1.460,1.466,1.472,1.477,1.483,1.488,1.493,1.498,1.502,1.507,1.511,1.515,1.519,1.523,1.527,1.530,1.534,1.537,1.540,1.543,1.546,1.549,1.552
9,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.002,1.004,1.010,1.021,1.039,1.065,1.099,1.136,1.175,1.209,1.238,1.259,1.273,1.281,1.283,1.283,1.281,1.278,1.276,1.275,1.276,1.278,1.281,1.286,1.291,1.297,1.303,1.310,1.316,1.323,1.330,1.337,1.344,1.351,1.358,1.365,1.371,1.378,1.385,1.391,1.398,1.404,1.411,1.417,1.423,1.429,1.434,1.440,1.445,1.451,1.456,1.461,1.465,1.470,1.475,1.479,1.484,1.488,1.492,1.496,1.500,1.504
