j,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,1.000,2.189,2.738,2.923,2.823,2.549,2.231,1.982,1.840,1.788,1.791,1.813,1.830,1.828,1.808,1.779,1.749,1.723,1.702,1.684,1.669,1.656,1.643,1.630,1.618,1.606,1.594,1.584,1.574,1.564,1.555,1.546,1.537,1.529,1.522,1.514,1.507,1.500,1.494,1.487,1.481,1.475,1.469,1.464,1.458,1.453,1.448,1.443,1.438,1.434,1.429,1.425,1.421,1.417,1.413,1.409,1.405,1.401,1.398,1.394,1.391,1.387,1.384,1.381,1.378,1.375,1.372,1.369,1.367,1.365
1,1.000,1.655,2.049,2.304,2.434,2.454,2.384,2.258,2.117,1.999,1.920,1.876,1.852,1.835,1.815,1.793,1.769,1.746,1.724,1.704,1.686,1.670,1.656,1.642,1.628,1.616,1.604,1.593,1.582,1.572,1.562,1.553,1.544,1.536,1.528,1.520,1.513,1.505,1.499,1.492,1.486,1.479,1.474,1.468,1.462,1.457,1.452,1.447,1.442,1.437,1.432,1.428,1.424,1.419,1.415,1.411,1.407,1.404,1.400,1.396,1.393,1.389,1.386,1.383,1.380,1.377,1.374,1.371,1.369,1.366
2,1.000,1.122,1.360,1.685,2.045,2.360,2.537,2.533,2.394,2.210,2.050,1.939,1.875,1.842,1.823,1.808,1.789,1.768,1.745,1.723,1.703,1.685,1.668,1.653,1.639,1.626,1.614,1.602,1.591,1.580,1.570,1.560,1.551,1.542,1.534,1.526,1.518,1.511,1.504,1.497,1.490,1.484,1.478,1.472,1.466,1.461,1.455,1.450,1.445,1.440,1.435,1.431,1.426,1.422,1.418,1.414,1.410,1.406,1.402,1.399,1.395,1.392,1.388,1.385,1.382,1.379,1.376,1.373,1.371,1.368
3,1.000,1.017,1.087,1.234,1.467,1.761,2.057,2.277,2.373,2.353,2.259,2.141,2.033,1.949,1.890,1.849,1.818,1.792,1.769,1.748,1.727,1.708,1.690,1.673,1.657,1.642,1.628,1.615,1.602,1.591,1.580,1.570,1.560,1.551,1.542,1.533,1.525,1.518,1.510,1.503,1.496,1.489,1.483,1.477,1.471,1.465,1.460,1.454,1.449,1.444,1.439,1.435,1.430,1.426,1.421,1.417,1.413,1.409,1.405,1.401,1.398,1.394,1.391,1.387,1.384,1.381,1.378,1.375,1.373,1.370
4,1.000,1.000,1.012,1.051,1.141,1.298,1.522,1.781,2.020,2.190,2.269,2.264,2.203,2.115,2.027,1.950,1.889,1.842,1.806,1.777,1.753,1.732,1.713,1.695,1.678,1.662,1.647,1.632,1.618,1.605,1.593,1.582,1.571,1.561,1.552,1.543,1.534,1.526,1.518,1.511,1.503,1.496,1.490,1.483,1.477,1.471,1.465,1.460,1.454,1.449,1.444,1.439,1.434,1.430,1.425,1.421,1.417,1.413,1.409,1.405,1.401,1.397,1.394,1.390,1.387,1.384,1.381,1.378,1.375,1.372
5,1.000,0.999,1.000,1.007,1.029,1.082,1.183,1.341,1.546,1.768,1.967,2.113,2.190,2.200,2.161,2.094,2.019,1.947,1.885,1.836,1.797,1.766,1.741,1.720,1.702,1.685,1.669,1.653,1.638,1.624,1.611,1.598,1.586,1.575,1.564,1.554,1.545,1.536,1.528,1.520,1.512,1.505,1.497,1.491,1.484,1.478,1.472,1.466,1.460,1.455,1.449,1.444,1.439,1.434,1.430,1.425,1.421,1.417,1.413,1.409,1.405,1.401,1.397,1.394,1.390,1.387,1.384,1.381,1.378,1.375
6,1.000,1.000,1.000,1.000,1.004,1.016,1.047,1.108,1.212,1.362,1.545,1.738,1.914,2.048,2.127,2.150,2.129,2.077,2.012,1.945,1.884,1.833,1.792,1.759,1.733,1.711,1.693,1.676,1.661,1.646,1.632,1.618,1.605,1.593,1.581,1.570,1.559,1.549,1.540,1.531,1.523,1.515,1.507,1.500,1.493,1.486,1.479,1.473,1.467,1.461,1.456,1.450,1.445,1.440,1.435,1.431,1.426,1.422,1.417,1.413,1.409,1.405,1.401,1.398,1.394,1.390,1.387,1.384,1.381,1.378
7,1.000,1.000,1.000,1.000,1.000,1.002,1.009,1.026,1.063,1.128,1.229,1.366,1.531,1.704,1.864,1.992,2.074,2.108,2.100,2.062,2.006,1.944,1.885,1.833,1.790,1.756,1.728,1.705,1.686,1.669,1.654,1.640,1.626,1.613,1.600,1.588,1.576,1.565,1.555,1.545,1.536,1.527,1.519,1.511,1.503,1.496,1.489,1.482,1.476,1.470,1.464,1.458,1.452,1.447,1.442,1.437,1.432,1.427,1.423,1.418,1.414,1.410,1.406,1.402,1.398,1.395,1.391,1.388,1.385,1.381
8,1.000,1.000,1.000,1.000,1.000,1.000,1.001,1.005,1.015,1.036,1.075,1.140,1.235,1.361,1.510,1.669,1.818,1.942,2.027,2.070,2.073,2.046,1.999,1.944,1.887,1.836,1.792,1.756,1.726,1.702,1.682,1.665,1.649,1.635,1.622,1.609,1.596,1.585,1.573,1.562,1.552,1.542,1.533,1.524,1.516,1.508,1.500,1.493,1.486,1.479,1.473,1.467,1.461,1.455,1.449,1.444,1.439,1.434,1.429,1.425,1.420,1.416,1.412,1.407,1.404,1.400,1.396,1.392,1.389,1.386
9,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.001,1.003,1.008,1.020,1.043,1.083,1.146,1.235,1.351,1.488,1.634,1.775,1.895,1.984,2.034,2.047,2.030,1.992,1.943,1.890,1.840,1.796,1.758,1.727,1.701,1.680,1.662,1.646,1.632,1.618,1.606,1.594,1.582,1.571,1.560,1.550,1.540,1.531,1.522,1.513,1.505,1.498,1.491,1.484,1.477,1.471,1.464,1.459,1.453,1.447,1.442,1.437,1.432,1.427,1.423,1.418,1.414,1.410,1.405,1.402,1.398,1.394,1.390
