# Converged surface pressure at iteration 4764
i	p
0	101325
1	346868
2	550351
3	593437
4	465254
5	331459
6	281189
7	286309
8	297568
9	297694
10	290761
11	282477
12	275199
13	269189
14	264079
15	259530
16	255365
17	251510
18	247932
19	244607
20	241508
21	238608
22	235886
23	233320
24	230897
25	228602
26	226425
27	224356
28	222386
29	220508
30	218714
31	216998
32	215354
33	213779
34	212266
35	210812
36	209413
37	208066
38	206769
39	205517
40	204309
41	203143
42	202016
43	200927
44	199873
45	198854
46	197868
47	196914
48	195990
49	195096
50	194231
51	193394
52	192585
53	191802
54	191046
55	190317
56	189614
57	188937
58	188287
59	187664
60	187067
61	186498
62	185957
63	185444
64	184962
65	184509
66	184090
67	183700
68	183357
69	183013
