i	p/p0
0	1
1	2.1887
2	2.73752
3	2.92261
4	2.82345
5	2.54896
6	2.2313
7	1.9816
8	1.84004
9	1.78806
10	1.79057
11	1.81349
12	1.82998
13	1.82751
14	1.80762
15	1.77874
16	1.74904
17	1.72307
18	1.70186
19	1.68448
20	1.66949
21	1.65575
22	1.64263
23	1.62992
24	1.61762
25	1.60579
26	1.5945
27	1.58376
28	1.57356
29	1.56388
30	1.55467
31	1.54588
32	1.53748
33	1.52944
34	1.52172
35	1.5143
36	1.50716
37	1.50029
38	1.49366
39	1.48726
40	1.48109
41	1.47513
42	1.46937
43	1.46379
44	1.4584
45	1.45317
46	1.44811
47	1.4432
48	1.43843
49	1.43381
50	1.42931
51	1.42495
52	1.4207
53	1.41657
54	1.41255
55	1.40863
56	1.40483
57	1.40111
58	1.3975
59	1.39398
60	1.39056
61	1.38722
62	1.384
63	1.38084
64	1.37783
65	1.37487
66	1.37211
67	1.36938
68	1.36696
69	1.36454
