# Converged surface pressure at iteration 3719
i	p
0	101325
1	221770
2	277379
3	296133
4	286086
5	258273
6	226086
7	200785
8	186442
9	181175
10	181430
11	183751
12	185422
13	185172
14	183157
15	180231
16	177222
17	174590
18	172441
19	170680
20	169161
21	167769
22	166439
23	165151
24	163905
25	162707
26	161563
27	160475
28	159441
29	158460
30	157527
31	156636
32	155786
33	154971
34	154189
35	153437
36	152713
37	152017
38	151345
39	150697
40	150072
41	149468
42	148884
43	148319
44	147772
45	147243
46	146730
47	146232
48	145749
49	145280
50	144825
51	144383
52	143952
53	143534
54	143127
55	142730
56	142344
57	141968
58	141602
59	141245
60	140899
61	140560
62	140234
63	139914
64	139609
65	139308
66	139029
67	138753
68	138507
69	138262
