j,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,4.000,3.223,2.467,1.858,1.489,1.283,1.126,0.998,0.904,0.838,0.786,0.742,0.703,0.669,0.639,0.612,0.588,0.567,0.547,0.529,0.513,0.498,0.483,0.470,0.458,0.447,0.436,0.426,0.417,0.408,0.400,0.392,0.384,0.377,0.370,0.364,0.357,0.351,0.346,0.340,0.335,0.330,0.325,0.320,0.316,0.311,0.307,0.303,0.299,0.295,0.292,0.288,0.284,0.281,0.278,0.274,0.271,0.268,0.265,0.262,0.259,0.256,0.253,0.250,0.247,0.244,0.241,0.238,0.235,0.233
2,4.000,3.878,3.474,2.896,2.514,2.335,2.186,2.005,1.823,1.671,1.553,1.460,1.382,1.316,1.257,1.205,1.159,1.116,1.078,1.043,1.011,0.981,0.954,0.929,0.905,0.883,0.862,0.842,0.824,0.807,0.790,0.775,0.760,0.746,0.732,0.720,0.707,0.696,0.685,0.674,0.663,0.654,0.644,0.635,0.626,0.617,0.609,0.601,0.593,0.586,0.578,0.571,0.564,0.558,0.551,0.545,0.538,0.532,0.526,0.520,0.514,0.509,0.503,0.497,0.492,0.486,0.480,0.475,0.469,0.464
3,4.000,3.992,3.917,3.585,3.189,2.947,2.818,2.713,2.582,2.430,2.279,2.146,2.032,1.935,1.850,1.775,1.708,1.647,1.592,1.541,1.494,1.451,1.411,1.374,1.340,1.307,1.277,1.248,1.222,1.196,1.172,1.149,1.128,1.107,1.087,1.069,1.051,1.033,1.017,1.001,0.986,0.972,0.957,0.944,0.931,0.918,0.906,0.894,0.883,0.872,0.861,0.851,0.840,0.831,0.821,0.811,0.802,0.793,0.784,0.776,0.767,0.759,0.750,0.742,0.734,0.726,0.718,0.710,0.702,0.693
4,4.000,4.000,4.000,3.927,3.676,3.399,3.209,3.097,3.022,2.945,2.848,2.734,2.616,2.504,2.402,2.310,2.226,2.151,2.081,2.017,1.958,1.903,1.852,1.805,1.761,1.719,1.680,1.643,1.608,1.576,1.544,1.515,1.487,1.460,1.434,1.410,1.387,1.364,1.343,1.322,1.303,1.284,1.265,1.248,1.231,1.214,1.198,1.183,1.168,1.154,1.139,1.126,1.113,1.100,1.087,1.075,1.063,1.051,1.039,1.028,1.017,1.006,0.995,0.985,0.974,0.963,0.953,0.943,0.932,0.922
5,4.000,4.001,4.003,4.001,3.937,3.762,3.552,3.385,3.277,3.214,3.167,3.116,3.047,2.963,2.871,2.780,2.692,2.609,2.532,2.460,2.393,2.330,2.270,2.215,2.163,2.113,2.067,2.023,1.982,1.942,1.905,1.869,1.835,1.803,1.772,1.743,1.714,1.687,1.661,1.636,1.612,1.589,1.567,1.545,1.525,1.504,1.485,1.466,1.448,1.430,1.413,1.397,1.380,1.365,1.349,1.334,1.320,1.305,1.291,1.277,1.264,1.251,1.237,1.224,1.212,1.199,1.186,1.174,1.161,1.149
6,4.000,4.000,4.001,4.003,3.998,3.953,3.833,3.668,3.516,3.407,3.341,3.306,3.280,3.247,3.199,3.137,3.067,2.994,2.921,2.850,2.782,2.716,2.654,2.594,2.537,2.483,2.432,2.383,2.336,2.292,2.249,2.209,2.170,2.133,2.098,2.064,2.032,2.000,1.970,1.941,1.913,1.887,1.861,1.836,1.812,1.788,1.766,1.744,1.722,1.702,1.682,1.662,1.643,1.625,1.607,1.589,1.572,1.555,1.539,1.523,1.507,1.492,1.476,1.461,1.447,1.432,1.417,1.403,1.388,1.374
7,4.000,4.000,4.000,4.001,4.002,3.998,3.968,3.888,3.761,3.622,3.509,3.436,3.398,3.381,3.369,3.349,3.317,3.271,3.218,3.161,3.102,3.043,2.985,2.928,2.872,2.817,2.765,2.714,2.665,2.618,2.573,2.529,2.487,2.447,2.408,2.371,2.335,2.300,2.267,2.235,2.204,2.174,2.145,2.117,2.090,2.064,2.038,2.014,1.990,1.966,1.944,1.922,1.900,1.880,1.859,1.839,1.820,1.801,1.782,1.764,1.746,1.729,1.712,1.695,1.678,1.661,1.645,1.629,1.612,1.596
8,4.000,4.000,4.000,4.000,4.001,4.002,3.998,3.980,3.929,3.833,3.713,3.599,3.515,3.467,3.447,3.442,3.439,3.429,3.407,3.375,3.335,3.291,3.245,3.197,3.149,3.101,3.053,3.005,2.957,2.911,2.866,2.822,2.779,2.737,2.697,2.658,2.620,2.584,2.548,2.514,2.481,2.448,2.417,2.387,2.357,2.329,2.301,2.274,2.248,2.223,2.198,2.174,2.150,2.127,2.105,2.083,2.062,2.041,2.020,2.000,1.980,1.961,1.942,1.923,1.905,1.887,1.869,1.851,1.833,1.815
9,4.000,4.000,4.000,4.000,4.000,4.000,4.001,3.999,3.988,3.956,3.889,3.790,3.681,3.589,3.527,3.496,3.488,3.491,3.495,3.491,3.477,3.455,3.426,3.393,3.357,3.320,3.281,3.242,3.201,3.160,3.119,3.078,3.038,2.998,2.958,2.920,2.882,2.845,2.809,2.774,2.739,2.706,2.673,2.642,2.611,2.581,2.552,2.523,2.495,2.468,2.442,2.416,2.391,2.366,2.342,2.318,2.295,2.273,2.251,2.229,2.208,2.187,2.167,2.147,2.127,2.107,2.088,2.068,2.049,2.030
