j,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,4.000,3.494,3.072,2.721,2.414,2.137,1.889,1.682,1.524,1.412,1.330,1.265,1.206,1.154,1.106,1.063,1.025,0.991,0.960,0.932,0.906,0.882,0.860,0.840,0.821,0.803,0.786,0.770,0.755,0.741,0.728,0.715,0.703,0.691,0.680,0.670,0.660,0.650,0.641,0.632,0.624,0.616,0.608,0.600,0.593,0.586,0.579,0.572,0.566,0.560,0.554,0.548,0.543,0.537,0.532,0.527,0.522,0.517,0.512,0.507,0.503,0.498,0.494,0.490,0.486,0.482,0.478,0.474,0.470,0.466
2,4.000,3.929,3.785,3.586,3.363,3.145,2.953,2.796,2.666,2.546,2.426,2.308,2.195,2.093,2.004,1.927,1.860,1.802,1.749,1.701,1.656,1.614,1.575,1.539,1.505,1.474,1.444,1.416,1.390,1.365,1.341,1.319,1.297,1.277,1.258,1.239,1.221,1.204,1.188,1.172,1.157,1.143,1.129,1.115,1.102,1.090,1.077,1.066,1.054,1.043,1.033,1.022,1.012,1.002,0.993,0.984,0.975,0.966,0.958,0.949,0.941,0.933,0.926,0.918,0.911,0.903,0.896,0.889,0.882,0.875
3,4.000,3.993,3.964,3.901,3.798,3.666,3.525,3.396,3.288,3.197,3.114,3.029,2.939,2.845,2.750,2.659,2.576,2.500,2.431,2.368,2.309,2.255,2.204,2.156,2.111,2.069,2.029,1.992,1.956,1.922,1.890,1.860,1.831,1.803,1.777,1.752,1.727,1.704,1.682,1.660,1.640,1.620,1.600,1.582,1.564,1.547,1.530,1.514,1.498,1.483,1.468,1.454,1.440,1.427,1.413,1.401,1.388,1.376,1.364,1.353,1.342,1.331,1.320,1.310,1.299,1.289,1.280,1.270,1.260,1.251
4,4.000,3.999,3.995,3.981,3.949,3.894,3.814,3.722,3.631,3.552,3.486,3.430,3.376,3.321,3.261,3.195,3.126,3.056,2.988,2.922,2.860,2.800,2.744,2.691,2.640,2.592,2.546,2.503,2.461,2.421,2.384,2.347,2.313,2.280,2.248,2.217,2.188,2.160,2.133,2.107,2.081,2.057,2.034,2.011,1.989,1.968,1.947,1.927,1.908,1.889,1.871,1.853,1.836,1.820,1.803,1.787,1.772,1.757,1.742,1.728,1.714,1.701,1.687,1.675,1.662,1.649,1.637,1.625,1.613,1.602
5,4.000,4.000,4.000,3.997,3.989,3.972,3.940,3.892,3.830,3.765,3.704,3.651,3.608,3.571,3.537,3.503,3.465,3.423,3.377,3.328,3.277,3.226,3.175,3.125,3.076,3.029,2.983,2.939,2.896,2.854,2.814,2.776,2.739,2.703,2.668,2.634,2.602,2.571,2.541,2.511,2.483,2.456,2.429,2.404,2.379,2.355,2.331,2.308,2.286,2.265,2.244,2.223,2.204,2.184,2.166,2.147,2.129,2.112,2.095,2.079,2.062,2.047,2.031,2.016,2.001,1.987,1.972,1.959,1.945,1.931
6,4.000,4.000,4.000,4.000,3.998,3.994,3.984,3.966,3.936,3.895,3.846,3.797,3.752,3.714,3.683,3.659,3.637,3.617,3.595,3.570,3.542,3.510,3.475,3.438,3.400,3.361,3.322,3.284,3.245,3.207,3.170,3.134,3.098,3.063,3.029,2.995,2.963,2.931,2.900,2.870,2.840,2.812,2.784,2.757,2.730,2.704,2.679,2.655,2.631,2.608,2.585,2.563,2.541,2.520,2.500,2.480,2.460,2.441,2.422,2.404,2.386,2.368,2.351,2.334,2.318,2.302,2.286,2.271,2.255,2.240
7,4.000,4.000,4.000,4.000,4.000,3.999,3.997,3.991,3.980,3.962,3.934,3.899,3.860,3.821,3.785,3.755,3.732,3.715,3.701,3.690,3.678,3.665,3.649,3.630,3.608,3.583,3.556,3.528,3.499,3.470,3.440,3.410,3.380,3.350,3.319,3.290,3.260,3.231,3.202,3.173,3.145,3.118,3.090,3.064,3.038,3.012,2.987,2.962,2.938,2.914,2.891,2.868,2.846,2.824,2.803,2.782,2.761,2.741,2.721,2.702,2.683,2.665,2.646,2.628,2.611,2.594,2.577,2.560,2.544,2.528
8,4.000,4.000,4.000,4.000,4.000,4.000,3.999,3.998,3.995,3.989,3.978,3.960,3.935,3.905,3.871,3.838,3.808,3.783,3.764,3.751,3.742,3.736,3.731,3.725,3.718,3.708,3.695,3.680,3.663,3.644,3.623,3.602,3.580,3.558,3.534,3.511,3.487,3.463,3.439,3.415,3.391,3.367,3.342,3.318,3.295,3.271,3.248,3.224,3.202,3.179,3.157,3.135,3.113,3.092,3.071,3.050,3.029,3.009,2.990,2.970,2.951,2.932,2.914,2.895,2.877,2.860,2.842,2.825,2.809,2.792
9,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,3.999,3.997,3.994,3.987,3.976,3.959,3.937,3.910,3.881,3.851,3.825,3.803,3.787,3.776,3.770,3.767,3.765,3.764,3.762,3.758,3.752,3.743,3.733,3.721,3.708,3.694,3.679,3.662,3.646,3.628,3.611,3.592,3.574,3.555,3.536,3.516,3.496,3.477,3.457,3.437,3.417,3.397,3.377,3.357,3.338,3.318,3.299,3.279,3.260,3.241,3.223,3.204,3.186,3.167,3.150,3.132,3.114,3.097,3.080,3.063,3.046,3.030
