j,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,0.000,0.240,0.528,0.631,0.422,0.137,-0.007,-0.021,0.007,0.026,0.030,0.027,0.023,0.019,0.017,0.015,0.013,0.012,0.011,0.010,0.009,0.009,0.008,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001
2,0.000,0.122,0.416,0.682,0.716,0.572,0.371,0.224,0.156,0.129,0.114,0.101,0.088,0.077,0.068,0.061,0.054,0.049,0.045,0.041,0.038,0.035,0.032,0.030,0.028,0.026,0.024,0.023,0.021,0.020,0.019,0.018,0.017,0.016,0.016,0.015,0.014,0.014,0.013,0.012,0.012,0.011,0.011,0.011,0.010,0.010,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005
3,0.000,0.002,0.116,0.454,0.728,0.799,0.732,0.595,0.451,0.342,0.273,0.229,0.199,0.174,0.154,0.137,0.123,0.111,0.101,0.092,0.085,0.078,0.072,0.067,0.062,0.058,0.055,0.051,0.048,0.046,0.043,0.041,0.039,0.037,0.035,0.033,0.032,0.030,0.029,0.028,0.027,0.026,0.025,0.024,0.023,0.022,0.021,0.021,0.020,0.019,0.019,0.018,0.017,0.017,0.016,0.016,0.016,0.015,0.015,0.014,0.014,0.014,0.014,0.013,0.013,0.013,0.013,0.012,0.012,0.012
4,0.000,-0.002,-0.012,0.114,0.433,0.697,0.814,0.811,0.733,0.620,0.508,0.418,0.354,0.308,0.273,0.243,0.219,0.198,0.179,0.164,0.150,0.138,0.128,0.119,0.111,0.103,0.097,0.091,0.086,0.081,0.076,0.072,0.069,0.065,0.062,0.059,0.056,0.054,0.052,0.049,0.047,0.045,0.044,0.042,0.040,0.039,0.038,0.036,0.035,0.034,0.033,0.032,0.031,0.030,0.029,0.028,0.028,0.027,0.026,0.026,0.025,0.024,0.024,0.023,0.023,0.023,0.022,0.022,0.021,0.021
5,0.000,0.002,-0.006,-0.012,0.100,0.364,0.624,0.783,0.837,0.812,0.737,0.641,0.549,0.474,0.417,0.373,0.337,0.306,0.279,0.255,0.234,0.215,0.199,0.185,0.172,0.161,0.151,0.142,0.133,0.126,0.119,0.113,0.107,0.102,0.097,0.092,0.088,0.084,0.080,0.077,0.074,0.071,0.068,0.065,0.063,0.061,0.059,0.057,0.055,0.053,0.051,0.050,0.048,0.047,0.045,0.044,0.043,0.042,0.041,0.040,0.039,0.038,0.037,0.036,0.035,0.035,0.034,0.034,0.033,0.032
6,0.000,0.001,0.002,-0.007,-0.007,0.075,0.281,0.527,0.718,0.821,0.844,0.808,0.737,0.655,0.578,0.516,0.466,0.426,0.391,0.360,0.332,0.307,0.284,0.264,0.246,0.230,0.216,0.203,0.191,0.180,0.171,0.162,0.153,0.146,0.139,0.132,0.126,0.121,0.115,0.111,0.106,0.102,0.098,0.094,0.091,0.087,0.084,0.081,0.079,0.076,0.073,0.071,0.069,0.067,0.065,0.063,0.061,0.060,0.058,0.057,0.055,0.054,0.053,0.052,0.051,0.050,0.049,0.048,0.047,0.046
7,0.000,-0.000,0.001,0.000,-0.006,-0.004,0.050,0.200,0.419,0.627,0.770,0.838,0.842,0.801,0.735,0.664,0.600,0.547,0.505,0.469,0.436,0.407,0.379,0.354,0.330,0.309,0.290,0.273,0.257,0.243,0.230,0.218,0.207,0.197,0.188,0.179,0.171,0.163,0.156,0.150,0.144,0.138,0.133,0.128,0.123,0.118,0.114,0.110,0.107,0.103,0.100,0.097,0.094,0.091,0.088,0.086,0.083,0.081,0.079,0.077,0.075,0.073,0.071,0.070,0.068,0.067,0.066,0.064,0.063,0.062
8,0.000,-0.000,0.000,0.001,-0.000,-0.004,-0.002,0.031,0.132,0.312,0.518,0.691,0.799,0.844,0.835,0.791,0.731,0.669,0.615,0.570,0.534,0.502,0.473,0.446,0.419,0.395,0.371,0.350,0.331,0.313,0.296,0.281,0.268,0.255,0.243,0.232,0.221,0.212,0.203,0.194,0.187,0.179,0.172,0.166,0.160,0.154,0.149,0.143,0.139,0.134,0.130,0.126,0.122,0.118,0.115,0.111,0.108,0.105,0.102,0.100,0.097,0.095,0.093,0.091,0.089,0.087,0.085,0.083,0.082,0.080
9,0.000,-0.000,-0.000,0.000,0.000,-0.000,-0.002,-0.001,0.018,0.082,0.216,0.403,0.590,0.733,0.815,0.842,0.825,0.781,0.726,0.672,0.625,0.587,0.556,0.528,0.502,0.477,0.453,0.430,0.407,0.386,0.367,0.349,0.332,0.317,0.303,0.289,0.277,0.265,0.254,0.244,0.234,0.225,0.216,0.208,0.201,0.194,0.187,0.180,0.174,0.169,0.163,0.158,0.153,0.149,0.144,0.140,0.136,0.132,0.129,0.126,0.122,0.119,0.116,0.114,0.111,0.109,0.107,0.105,0.103,0.101
10,0.000,-0.000,-0.000,-0.000,0.000,0.000,-0.000,-0.001,-0.001,0.010,0.048,0.141,0.294,0.477,0.642,0.760,0.823,0.836,0.814,0.770,0.719,0.672,0.632,0.599,0.572,0.548,0.525,0.503,0.480,0.459,0.438,0.418,0.399,0.382,0.365,0.350,0.335,0.321,0.309,0.296,0.285,0.274,0.264,0.254,0.245,0.237,0.229,0.221,0.214,0.207,0.200,0.194,0.188,0.182,0.177,0.172,0.167,0.163,0.158,0.154,0.150,0.146,0.143,0.139,0.136,0.133,0.131,0.128,0.125,0.123
11,0.000,0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.001,-0.000,0.005,0.027,0.086,0.200,0.362,0.534,0.680,0.777,0.824,0.828,0.802,0.759,0.713,0.671,0.636,0.608,0.584,0.563,0.542,0.522,0.502,0.483,0.463,0.445,0.427,0.410,0.394,0.379,0.364,0.351,0.338,0.326,0.314,0.303,0.292,0.282,0.273,0.264,0.256,0.247,0.240,0.232,0.225,0.219,0.212,0.206,0.201,0.195,0.190,0.185,0.180,0.176,0.171,0.167,0.164,0.160,0.157,0.153,0.150,0.147
12,0.000,0.000,0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.003,0.015,0.051,0.128,0.256,0.419,0.580,0.707,0.787,0.821,0.818,0.789,0.749,0.706,0.668,0.637,0.613,0.592,0.573,0.555,0.537,0.519,0.501,0.484,0.467,0.450,0.434,0.419,0.404,0.390,0.377,0.364,0.352,0.341,0.329,0.319,0.309,0.299,0.290,0.281,0.273,0.265,0.257,0.250,0.243,0.236,0.230,0.224,0.218,0.212,0.207,0.202,0.197,0.193,0.189,0.184,0.181,0.177,0.173
13,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.002,0.008,0.029,0.078,0.170,0.308,0.468,0.615,0.726,0.792,0.816,0.807,0.777,0.738,0.699,0.665,0.638,0.616,0.597,0.581,0.565,0.549,0.533,0.516,0.500,0.484,0.469,0.454,0.440,0.426,0.413,0.400,0.388,0.376,0.365,0.354,0.343,0.333,0.323,0.314,0.305,0.297,0.289,0.281,0.273,0.266,0.259,0.253,0.246,0.240,0.235,0.229,0.224,0.219,0.214,0.209,0.205,0.201
