j,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,0.000,0.124,0.238,0.328,0.366,0.336,0.244,0.131,0.042,-0.002,-0.008,0.003,0.019,0.029,0.033,0.031,0.027,0.022,0.019,0.016,0.015,0.014,0.013,0.013,0.012,0.011,0.011,0.010,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002
2,0.000,0.066,0.167,0.278,0.368,0.416,0.417,0.375,0.307,0.233,0.170,0.128,0.105,0.094,0.088,0.082,0.076,0.070,0.063,0.057,0.052,0.048,0.045,0.042,0.039,0.037,0.034,0.032,0.031,0.029,0.027,0.026,0.025,0.024,0.022,0.021,0.021,0.020,0.019,0.018,0.017,0.017,0.016,0.015,0.015,0.014,0.014,0.013,0.013,0.013,0.012,0.012,0.011,0.011,0.011,0.010,0.010,0.010,0.010,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.008
3,0.000,0.010,0.051,0.129,0.235,0.346,0.432,0.478,0.479,0.445,0.389,0.325,0.267,0.221,0.189,0.167,0.151,0.139,0.128,0.118,0.109,0.101,0.093,0.087,0.081,0.076,0.071,0.067,0.063,0.060,0.056,0.054,0.051,0.048,0.046,0.044,0.042,0.040,0.039,0.037,0.036,0.034,0.033,0.032,0.031,0.030,0.029,0.028,0.027,0.026,0.025,0.024,0.023,0.023,0.022,0.021,0.021,0.020,0.020,0.019,0.019,0.018,0.018,0.017,0.017,0.017,0.016,0.016,0.016,0.015
4,0.000,-0.000,0.007,0.033,0.088,0.174,0.280,0.381,0.455,0.495,0.500,0.477,0.437,0.388,0.339,0.296,0.261,0.234,0.213,0.196,0.181,0.168,0.157,0.146,0.137,0.128,0.120,0.113,0.107,0.101,0.095,0.090,0.086,0.082,0.078,0.074,0.071,0.068,0.065,0.063,0.060,0.058,0.056,0.054,0.052,0.050,0.048,0.046,0.045,0.043,0.042,0.041,0.039,0.038,0.037,0.036,0.035,0.034,0.033,0.032,0.031,0.031,0.030,0.029,0.028,0.028,0.027,0.027,0.026,0.025
5,0.000,-0.000,-0.000,0.005,0.020,0.054,0.116,0.203,0.301,0.391,0.458,0.496,0.508,0.496,0.468,0.431,0.390,0.352,0.317,0.289,0.265,0.246,0.229,0.215,0.202,0.190,0.179,0.169,0.160,0.151,0.143,0.136,0.129,0.123,0.117,0.112,0.107,0.102,0.098,0.094,0.090,0.087,0.084,0.080,0.078,0.075,0.072,0.070,0.067,0.065,0.063,0.061,0.059,0.058,0.056,0.054,0.053,0.051,0.050,0.048,0.047,0.046,0.045,0.044,0.043,0.042,0.041,0.040,0.039,0.038
6,0.000,-0.000,-0.000,0.000,0.003,0.011,0.032,0.072,0.136,0.219,0.308,0.388,0.451,0.491,0.508,0.505,0.487,0.458,0.424,0.390,0.358,0.330,0.306,0.286,0.269,0.255,0.241,0.229,0.218,0.207,0.197,0.187,0.178,0.170,0.162,0.155,0.148,0.142,0.136,0.131,0.126,0.121,0.116,0.112,0.108,0.104,0.101,0.097,0.094,0.091,0.088,0.085,0.083,0.080,0.078,0.076,0.074,0.072,0.070,0.068,0.066,0.064,0.063,0.061,0.059,0.058,0.057,0.055,0.054,0.053
7,0.000,0.000,-0.000,-0.000,0.000,0.001,0.006,0.018,0.043,0.086,0.148,0.224,0.305,0.380,0.440,0.481,0.503,0.507,0.496,0.474,0.447,0.417,0.388,0.361,0.338,0.318,0.302,0.287,0.274,0.262,0.250,0.240,0.230,0.220,0.210,0.202,0.193,0.185,0.178,0.171,0.165,0.158,0.153,0.147,0.142,0.137,0.133,0.128,0.124,0.120,0.116,0.113,0.110,0.106,0.103,0.100,0.097,0.095,0.092,0.090,0.087,0.085,0.083,0.081,0.079,0.077,0.075,0.073,0.072,0.070
8,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.001,0.003,0.010,0.025,0.052,0.094,0.153,0.223,0.298,0.368,0.427,0.470,0.495,0.504,0.499,0.483,0.460,0.435,0.408,0.384,0.362,0.343,0.326,0.312,0.299,0.288,0.277,0.267,0.257,0.247,0.238,0.229,0.221,0.213,0.205,0.198,0.191,0.184,0.178,0.172,0.167,0.162,0.157,0.152,0.147,0.143,0.139,0.135,0.131,0.127,0.124,0.120,0.117,0.114,0.111,0.108,0.106,0.103,0.100,0.098,0.096,0.094,0.091,0.089
9,0.000,0.000,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.002,0.006,0.014,0.030,0.058,0.099,0.153,0.219,0.289,0.355,0.413,0.456,0.485,0.498,0.498,0.487,0.469,0.446,0.423,0.400,0.379,0.360,0.344,0.331,0.318,0.307,0.297,0.287,0.278,0.269,0.261,0.252,0.244,0.236,0.229,0.221,0.214,0.208,0.201,0.195,0.190,0.184,0.179,0.174,0.169,0.164,0.160,0.155,0.151,0.147,0.144,0.140,0.136,0.133,0.130,0.127,0.124,0.121,0.118,0.115,0.113,0.110
